circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Semariya B.O.,231211,BO,Delivery,MIRZAPUR,UTTAR PRADESH,24.908961999999999,82.287942000000001
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Bangla Devaria BO,231305,BO,Delivery,MIRZAPUR,UTTAR PRADESH,25.745962,83.92929
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Chhota Mirzapur BO,231305,BO,Delivery,MIRZAPUR,UTTAR PRADESH,25.757326,83.953623
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Hariharpur BO,231305,BO,Delivery,MIRZAPUR,UTTAR PRADESH,25.752263,83.953065
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Jaipatti Kala BO,231305,BO,Delivery,MIRZAPUR,UTTAR PRADESH,25.166685,83.05617
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Kamalpur BO,231305,BO,Delivery,MIRZAPUR,UTTAR PRADESH,25.184696,82.994504
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Khajuraul BO,231305,BO,Delivery,MIRZAPUR,UTTAR PRADESH,25.151336,83.03748
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Parsoi BO,231219,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.467985,82.981886
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Mudiladeeh BO,231215,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.672174,82.870102
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Sarvat BO,231215,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.703106,82.978431
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Pauni BO,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.649846,83.224855
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Raipur BO,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.678628,83.205629
Uttar Pradesh Circle,Prayagraj Regional Office,Mirzapur Division,Rampur BO,231213,BO,Delivery,SONBHADRA,UTTAR PRADESH,24.737721,83.130708
