circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Mahraniganj BO,229211,BO,Delivery,RAE BARELI,UTTAR PRADESH,27.11,83.5
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Taqia Kala BO,229001,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.23,81.209999999999994
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Asahanjagatpur BO,229301,BO,Delivery,RAE BARELI,UTTAR PRADESH,20.49,85.94
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Kasrawan BO,229301,BO,Delivery,RAE BARELI,UTTAR PRADESH,24.48,81.11
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Uchauri BO,229301,BO,Delivery,RAE BARELI,UTTAR PRADESH,25.75,83.66
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Jagdishpur BO,229310,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.74,80.54
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Lodhwari BO,229310,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.15,81.33
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Tikari Dandu BO,229310,BO,Delivery,RAE BARELI,UTTAR PRADESH,24.94,84.84
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Khurrampur BO,229406,BO,Delivery,RAE BARELI,UTTAR PRADESH,28.78,77.47
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Pothai BO,229302,BO,Delivery,RAE BARELI,UTTAR PRADESH,34.17,118.35
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Pure Wade Singh BO,229302,BO,Delivery,Amethi,UTTAR PRADESH,34.92,95.75
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Sarwan BO,229302,BO,Delivery,Amethi,UTTAR PRADESH,40.92,70.66
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Tenduwa BO,229302,BO,Delivery,Amethi,UTTAR PRADESH,37.48,121.94
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Sarain Mahesha BO,229304,BO,Delivery,Amethi,UTTAR PRADESH,26.26,81.46
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Shahmau BO,229304,BO,Delivery,Amethi,UTTAR PRADESH,26.31,81.52
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Singhpur BO,229304,BO,Delivery,Amethi,UTTAR PRADESH,31.2,75.46
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Chauhania BO,229303,BO,Delivery,RAE BARELI,UTTAR PRADESH,25.41,83.21
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Khidirpurkaraundi BO,229303,BO,Delivery,RAE BARELI,UTTAR PRADESH,27.86,80.58
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Kundanganj BO,229303,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.45,81.11
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Majhigawan BO,229123,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.722,81.463
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Banbharia BO,229801,BO,Delivery,Amethi,UTTAR PRADESH,26.54083,81.466
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Jijauli BO,229801,BO,Delivery,Amethi,UTTAR PRADESH,26.454,81.336
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Ram Garh Tikaria BO,229402,BO,Delivery,RAE BARELI,UTTAR PRADESH,23.65,85.56
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Shankarpur BO,229402,BO,Delivery,RAE BARELI,UTTAR PRADESH,21.64,87.56
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Tikar Agachipur BO,229402,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.09,81.24
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Jaudaha BO,229124,BO,Delivery,RAE BARELI,UTTAR PRADESH,25.9678,81.5239
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Amawan BO,229306,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.25,81.25
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Garhi Majre Pokhanni BO,229306,BO,Delivery,RAE BARELI,UTTAR PRADESH,28.977,77.33
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Khurehti BO,229128,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.74,85.43
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Semra BO,229128,BO,Delivery,RAE BARELI,UTTAR PRADESH,38.9,77.06
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Tewaripur BO,229128,BO,Delivery,RAE BARELI,UTTAR PRADESH,25.24,82.73
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Bhuemau BO,229405,BO,Delivery,RAE BARELI,UTTAR PRADESH,28.78,79.02
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Khagipur Sandwa BO,229405,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.61,79.48
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Sawaiya Hasan BO,229404,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.2999722,81.0251944
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Asharasidpur BO,229129,BO,Delivery,RAE BARELI,UTTAR PRADESH,21.1,78.79
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Burdhanpur BO,229316,BO,Delivery,RAE BARELI,UTTAR PRADESH,21.31,76.22
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Sarawan BO,229316,BO,Delivery,RAE BARELI,UTTAR PRADESH,34.03,118.73
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Nain BO,229127,BO,Delivery,RAE BARELI,UTTAR PRADESH,32.63,35.34
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Purab Nain BO,229129,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.053143,81.295695
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Rewhara BO,229127,BO,Delivery,RAE BARELI,UTTAR PRADESH,36.75,95.97
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Khekharua BO,229126,BO,Delivery,Amethi,UTTAR PRADESH,26.45,81.4
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Dahigawan BO,229308,BO,Delivery,RAE BARELI,UTTAR PRADESH,19.98,72.89
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,JPNatai BO,229308,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.508144,81.239492
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Kumbhi BO,229308,BO,Delivery,RAE BARELI,UTTAR PRADESH,24.983686,85.563783
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Ahuri BO,229309,BO,Delivery,Amethi,UTTAR PRADESH,35.762514,51.445273
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Chetra Bujurg BO,229309,BO,Delivery,Amethi,UTTAR PRADESH,26.34627,81.491055
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Gardehri BO,229309,BO,Delivery,Amethi,UTTAR PRADESH,46.94,7.44
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Jai Nagra BO,229309,BO,Delivery,Amethi,UTTAR PRADESH,27.5,82.3
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Kamai BO,229309,BO,Delivery,Amethi,UTTAR PRADESH,36.37,25.48
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Mohanganj BO,229309,BO,Delivery,Amethi,UTTAR PRADESH,24.82,91.03
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Pakargaon BO,229309,BO,Delivery,Amethi,UTTAR PRADESH,22.37,83.63
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Phoola BO,229309,BO,Delivery,Amethi,UTTAR PRADESH,26.04,29.03
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Imaliya Sultanpur BO,261001,BO,Delivery,SITAPUR,UTTAR PRADESH,27.5325,80.8987
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Indrauli BO,261001,BO,Delivery,SITAPUR,UTTAR PRADESH,27.5325,80.8987
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Lilsi BO,261001,BO,Delivery,SITAPUR,UTTAR PRADESH,27.5325,80.8987
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Korauna BO,261403,BO,Delivery,SITAPUR,UTTAR PRADESH,27.32777,80.56273
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Ramgarh BO,261403,BO,Delivery,SITAPUR,UTTAR PRADESH,27.32777,80.56273
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Ramshala BO,261403,BO,Delivery,SITAPUR,UTTAR PRADESH,27.32777,80.56273
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Dahawa BO,261301,BO,Delivery,SITAPUR,UTTAR PRADESH,27.28082,80.92353
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Unchakhera Ajai BO,261301,BO,Delivery,SITAPUR,UTTAR PRADESH,27.28082,80.92353
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Hasnapur BO,261201,BO,Delivery,SITAPUR,UTTAR PRADESH,27.493757,80.996757
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Maharaj Nagar BO,261201,BO,Delivery,SITAPUR,UTTAR PRADESH,27.493757,80.996757
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Manikapur BO,261201,BO,Delivery,SITAPUR,UTTAR PRADESH,27.493757,80.996757
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Pokhra Kalan BO,261201,BO,Delivery,SITAPUR,UTTAR PRADESH,27.493757,80.996757
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Sadarpur BO,261201,BO,Delivery,SITAPUR,UTTAR PRADESH,27.493757,80.996757
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Dateli BO,261121,BO,Delivery,SITAPUR,UTTAR PRADESH,27.766679,80.733321
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Hargaon ND BO,261121,BO,Non Delivery,SITAPUR,UTTAR PRADESH,27.766679,80.733321
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Kusuma BO,261121,BO,Delivery,SITAPUR,UTTAR PRADESH,27.766679,80.733321
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Rajepur BO,261121,BO,Delivery,SITAPUR,UTTAR PRADESH,27.766679,80.733321
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Bhainsaha BO,261202,BO,Delivery,SITAPUR,UTTAR PRADESH,27.7683576,80.7343452
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Bohra BO,261202,BO,Delivery,SITAPUR,UTTAR PRADESH,27.7683576,80.7343452
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Makhuwapur BO,261302,BO,Delivery,SITAPUR,UTTAR PRADESH,27.2296023,80.8475893
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Sujaulia BO,261302,BO,Delivery,SITAPUR,UTTAR PRADESH,27.2296023,80.8475893
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Ashrafpur BO,261131,BO,Delivery,SITAPUR,UTTAR PRADESH,27.5211568,80.740687
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Akbarpur BO,261135,BO,Delivery,SITAPUR,UTTAR PRADESH,27.7842,80.90625
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Behra Kodehra BO,261135,BO,Delivery,SITAPUR,UTTAR PRADESH,27.7842,80.90625
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Dhakera BO,261135,BO,Delivery,SITAPUR,UTTAR PRADESH,27.7842,80.90625
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Makanpur BO,261135,BO,Delivery,SITAPUR,UTTAR PRADESH,27.7842,80.90625
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Nabinagar BO,261135,BO,Delivery,SITAPUR,UTTAR PRADESH,27.7842,80.90625
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Amtamau BO,261405,BO,Delivery,SITAPUR,UTTAR PRADESH,27.4029,80.6874
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Fateh Nagar BO,261405,BO,Delivery,SITAPUR,UTTAR PRADESH,27.4029,80.6874
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Baghain BO,261203,BO,Delivery,SITAPUR,UTTAR PRADESH,27.30001,81.1333233
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Bhethra Madhav BO,261203,BO,Delivery,SITAPUR,UTTAR PRADESH,27.30001,81.1333233
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Niyamatpur Labarha BO,261203,BO,Delivery,SITAPUR,UTTAR PRADESH,27.30001,81.1333233
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Samardaha BO,261203,BO,Delivery,SITAPUR,UTTAR PRADESH,27.30001,81.1333233
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Baragaon BO,261141,BO,Delivery,SITAPUR,UTTAR PRADESH,27.6537819,80.475751
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Brahmawali BO,261141,BO,Delivery,SITAPUR,UTTAR PRADESH,27.6537819,80.475751
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Chaturaiya BO,261141,BO,Delivery,SITAPUR,UTTAR PRADESH,27.6537819,80.475751
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Kachura BO,261141,BO,Delivery,SITAPUR,UTTAR PRADESH,27.6537819,80.475751
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Tikra Teekar BO,261141,BO,Delivery,SITAPUR,UTTAR PRADESH,27.6537819,80.475751
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Belwa Baharurpur BO,261145,BO,Delivery,SITAPUR,UTTAR PRADESH,27.59535,80.98765
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Marsanda BO,261145,BO,Delivery,SITAPUR,UTTAR PRADESH,27.59535,80.98765
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Tendua BO,261145,BO,Delivery,SITAPUR,UTTAR PRADESH,27.59535,80.98765
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Ulara BO,261145,BO,Delivery,SITAPUR,UTTAR PRADESH,27.59535,80.98765
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Akbapur BO,261401,BO,Delivery,SITAPUR,UTTAR PRADESH,27.4293,80.53
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Sakrara BO,261404,BO,Delivery,SITAPUR,UTTAR PRADESH,27.566,80.683293
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Bargawan BO,261151,BO,Delivery,SITAPUR,UTTAR PRADESH,27.569,80.412
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Kotra Deokali BO,261151,BO,Delivery,SITAPUR,UTTAR PRADESH,27.569,80.412
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Bahadurganj BO,261204,BO,Delivery,SITAPUR,UTTAR PRADESH,28.802,79.025
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Para Ramnagra BO,261204,BO,Delivery,SITAPUR,UTTAR PRADESH,28.802,79.025
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Terwa Manikapur BO,261204,BO,Delivery,SITAPUR,UTTAR PRADESH,28.802,79.025
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Bambhanawan BO,261205,BO,Delivery,SITAPUR,UTTAR PRADESH,27.499,80.99443
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Bhartha BO,261205,BO,Delivery,SITAPUR,UTTAR PRADESH,27.499,80.99443
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Kodaura BO,261205,BO,Delivery,SITAPUR,UTTAR PRADESH,27.499,80.99443
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Thoura BO,261205,BO,Delivery,SITAPUR,UTTAR PRADESH,27.499,80.99443
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Bambhaur BO,261206,BO,Delivery,SITAPUR,UTTAR PRADESH,27.8182407,80.6076942
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Shamshabad BO,261206,BO,Delivery,SITAPUR,UTTAR PRADESH,27.8182407,80.6076942
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Sultanapur BO,261206,BO,Delivery,SITAPUR,UTTAR PRADESH,27.8182407,80.6076942
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Gandhauli BO,261303,BO,Delivery,SITAPUR,UTTAR PRADESH,27.285,80.837
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Pachhimgaon BO,261303,BO,Delivery,SITAPUR,UTTAR PRADESH,27.285,80.837
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Parewajal BO,261303,BO,Delivery,SITAPUR,UTTAR PRADESH,27.285,80.837
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Sarain BO,261303,BO,Delivery,SITAPUR,UTTAR PRADESH,27.285,80.837
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Terwa BO,261303,BO,Delivery,SITAPUR,UTTAR PRADESH,27.285,80.837
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Lalpur BO,261136,BO,Delivery,SITAPUR,UTTAR PRADESH,27.57735,80.5806
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Maror BO,261136,BO,Delivery,SITAPUR,UTTAR PRADESH,27.57735,80.5806
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Marsanda BO,261136,BO,Delivery,SITAPUR,UTTAR PRADESH,27.57735,80.5806
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Sonsari BO,261136,BO,Delivery,SITAPUR,UTTAR PRADESH,27.57735,80.5806
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Tanda Kalan BO,261136,BO,Delivery,SITAPUR,UTTAR PRADESH,27.57735,80.5806
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Kasraila Bazar BO,261207,BO,Delivery,SITAPUR,UTTAR PRADESH,27.711,80.90362
Uttar Pradesh Circle,Lucknow  HQ Region,Sitapur Division,Behta Pakauri BO,261208,BO,Delivery,SITAPUR,UTTAR PRADESH,27.4992,80.9944
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Darkha BO,227405,BO,Delivery,Amethi,UTTAR PRADESH,26.143811,81.737678
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Benipur BO,227405,BO,Delivery,Amethi,UTTAR PRADESH,26.154053999999999,81.814238000000003
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Kohra BO,227405,BO,Delivery,Amethi,UTTAR PRADESH,26.154053999999999,81.814238000000003
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Naraini BO,227405,BO,Delivery,Amethi,UTTAR PRADESH,26.154053999999999,81.814238000000003
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Ram Nagar BO,227405,BO,Delivery,Amethi,UTTAR PRADESH,26.154053999999999,81.814238000000003
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Baijapur BO,228001,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.221732,82.040033
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Uturi BO,228001,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.202094,82.062936
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Abhiya Kalan BO,228001,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.264776,82.072706
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Ramnagar Kot BO,228001,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.303651,82.076121
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Bhapta BO,228001,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.189985,82.10666
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Hanumanganj BO,228001,BO,Delivery,SULTANPUR,UTTAR PRADESH,25.801527,84.137576999999993
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Alimuddinpur BO,228171,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.201929,82.560512
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Harthua Babhanpur BO,228171,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.23674,82.072706
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Bela Pashchim BO,227805,BO,Delivery,SULTANPUR,UTTAR PRADESH,27.492207,79.168962
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Haji Patti BO,227805,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.154054,81.814238
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Bingi BO,228121,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.464167,82.010739
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Murua BO,228121,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.297703,82.12784
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Baqghauna BO,227814,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.342992,81.436139
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Barmhauli BO,227814,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.26,82.07
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Nandrai BO,227814,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.469895,81.930293
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Padare BO,227814,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.297703,82.12784
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Kaithwara BO,228120,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.264776,82.072706
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Basupur BO,228133,BO,Delivery,SULTANPUR,UTTAR PRADESH,25.133652,83.022039
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Mirpur Saraiya BO,228133,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.1793796,82.664547
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Nanemau BO,228133,BO,Delivery,SULTANPUR,UTTAR PRADESH,28.11,81.63
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Bhawapur BO,227406,BO,Delivery,Amethi,UTTAR PRADESH,26.108855,81.944298
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Kaithapur BO,227304,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.071329,82.119676
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Patipur BO,227304,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.25551,82.07661
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Shivgarh BO,227304,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.083617,82.07661
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Ahda BO,228132,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.25551,82.07661
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Kachha Bhitaura BO,228132,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.25551,82.07661
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Kharsara BO,228132,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.260961,82.073721
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Sanaha BO,227408,BO,Delivery,Amethi,UTTAR PRADESH,26.151558,81.770499
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Saruawan BO,227408,BO,Delivery,Amethi,UTTAR PRADESH,26.151558,81.770499
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Tikari BO,227408,BO,Delivery,Amethi,UTTAR PRADESH,26.151558,81.770499
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Dhanaupur BO,228131,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.25,82.07
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Kamtaganj BO,228131,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.274111,82.473636
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Loknathpur BO,228131,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.272201,82.472568
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Paharpur Rai Patti BO,228131,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.361495,82.18156
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Sarsawan BO,228131,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.257506,82.49189
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Umarpur BO,228131,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.272201,82.472568
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Inayatpur BO,228125,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.815444,82.960237
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Sonara BO,228125,BO,Delivery,SULTANPUR,UTTAR PRADESH,26.327592,82.108823
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Balbhadrapur BO,227801,BO,Delivery,Amethi,UTTAR PRADESH,26.403473,81.666515
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Nimi BO,227801,BO,Delivery,Amethi,UTTAR PRADESH,26.368984,81.667461
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Rajamau BO,227801,BO,Delivery,Amethi,UTTAR PRADESH,26.368984,81.667461
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Ram Bax Garh BO,227801,BO,Delivery,Amethi,UTTAR PRADESH,26.403473,81.666515
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Parbatpur BO,227801,BO,Delivery,Amethi,UTTAR PRADESH,26.407089,81.628168
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Arjunpur BO,227409,BO,Delivery,Amethi,UTTAR PRADESH,26.207349,81.682344
Uttar Pradesh Circle,Prayagraj Regional Office,Sultanpur Division,Bisundaspur BO,227409,BO,Delivery,Amethi,UTTAR PRADESH,26.207349,81.682344
